date;Year;Variable;Value;Population;Rate
2019-10-01;2019;Women;1924;2512350;76.5816864688439
2019-10-01;2019;Men;2192;2400082;91.3302128843931
2019-11-01;2019;Women;1581;2513555;62.8989618289634
2019-11-01;2019;Men;1807;2401607;75.2412863553446
2019-12-01;2019;Women;1434;2513334;57.0556877836372
2019-12-01;2019;Men;1637;2399498;68.2226032278418
2020-01-01;2020;Women;1714;2520169;68.0113119397945
2020-01-01;2020;Men;1848;2407237;76.7685109525984
2020-02-01;2020;Women;1774;2525466;70.2444618141761
2020-02-01;2020;Men;1913;2413108;79.2753577543981
2020-03-01;2020;Women;1203;2527794;47.5909033726641
2020-03-01;2020;Men;1358;2415560;56.2188478034079
2020-04-01;2020;Women;668;2525165;26.4537168858273
2020-04-01;2020;Men;778;2413406;32.2365984007664
2020-05-01;2020;Women;987;2524513;39.0966495320088
2020-05-01;2020;Men;1201;2413374;49.7643547995462
2020-06-01;2020;Women;1419;2517198;56.3722043319596
2020-06-01;2020;Men;1597;2403976;66.4316116300662
2020-07-01;2020;Women;1484;2519868;58.8919737065592
2020-07-01;2020;Men;1598;2407162;66.3852287465489
2020-08-01;2020;Women;938;2522259;37.18888504313
2020-08-01;2020;Men;1022;2410413;42.3993730534975
2020-09-01;2020;Women;1297;2526307;51.3397619529218
2020-09-01;2020;Men;1466;2415217;60.6984796811218
2014-01-01;2014;1st Q (least deprived);782;1002582;77.9986075951892
2014-01-01;2014;2nd Q;519;710932;73.0027625708225
2014-01-01;2014;3rd Q;623;997682;62.4447469233684
2014-01-01;2014;4th Q (most deprived);502;895514;56.0571917356959
2014-01-01;2014;Rural;703;1142893;61.5105701058629
2014-02-01;2014;1st Q (least deprived);790;1003654;78.7123849454095
2014-02-01;2014;2nd Q;501;711100;70.4542258472789
2014-02-01;2014;3rd Q;631;998132;63.2180913947254
2014-02-01;2014;4th Q (most deprived);554;895612;61.8571434951743
2014-02-01;2014;Rural;772;1143119;67.5345261516955
2014-03-01;2014;1st Q (least deprived);776;1004180;77.2769822143441
2014-03-01;2014;2nd Q;492;711533;69.1464766918752
2014-03-01;2014;3rd Q;669;998607;66.9933216971241
2014-03-01;2014;4th Q (most deprived);596;895660;66.5431078757564
2014-03-01;2014;Rural;755;1143339;66.0346581372629
2014-04-01;2014;1st Q (least deprived);744;1004694;74.0523980435834
2014-04-01;2014;2nd Q;473;711951;66.4371564897022
2014-04-01;2014;3rd Q;593;999215;59.3465870708506
2014-04-01;2014;4th Q (most deprived);524;895761;58.4977466087494
2014-04-01;2014;Rural;682;1143483;59.6423383644532
2014-05-01;2014;1st Q (least deprived);798;1005305;79.3788949622254
2014-05-01;2014;2nd Q;539;712224;75.6784382441479
2014-05-01;2014;3rd Q;664;999650;66.4232481368479
2014-05-01;2014;4th Q (most deprived);588;895679;65.6485191681395
2014-05-01;2014;Rural;761;1143397;66.5560605808831
2014-06-01;2014;1st Q (least deprived);735;1005566;73.0931634522249
2014-06-01;2014;2nd Q;464;713049;65.0726668153241
2014-06-01;2014;3rd Q;645;1000745;64.451983272462
2014-06-01;2014;4th Q (most deprived);554;896434;61.8004225631781
2014-06-01;2014;Rural;773;1143585;67.5944507841569
2014-07-01;2014;1st Q (least deprived);897;1000350;89.6686159844055
2014-07-01;2014;2nd Q;594;709530;83.7173903851846
2014-07-01;2014;3rd Q;757;995385;76.0509752507824
2014-07-01;2014;4th Q (most deprived);647;880813;73.4548649940453
2014-07-01;2014;Rural;887;1139352;77.8512698446134
2014-08-01;2014;1st Q (least deprived);479;1001189;47.8431145368157
2014-08-01;2014;2nd Q;298;709938;41.9754964518028
2014-08-01;2014;3rd Q;409;996219;41.0552298239644
2014-08-01;2014;4th Q (most deprived);397;888684;44.6727970797269
2014-08-01;2014;Rural;637;1140147;55.8699886944403
2014-09-01;2014;1st Q (least deprived);697;1002573;69.5211221527011
2014-09-01;2014;2nd Q;451;710645;63.46347332353
2014-09-01;2014;3rd Q;637;997372;63.8678446958607
2014-09-01;2014;4th Q (most deprived);515;889220;57.9159263174468
2014-09-01;2014;Rural;763;1141112;66.8646022476321
2014-10-01;2014;1st Q (least deprived);930;1003545;92.671479604801
2014-10-01;2014;2nd Q;580;710971;81.5785735283155
2014-10-01;2014;3rd Q;819;997652;82.0927537858893
2014-10-01;2014;4th Q (most deprived);716;889307;80.5121291072712
2014-10-01;2014;Rural;943;1141229;82.6302170729976
2014-11-01;2014;1st Q (least deprived);859;1004356;85.5274424606414
2014-11-01;2014;2nd Q;543;711324;76.3365217538
2014-11-01;2014;3rd Q;693;998201;69.4248953868009
2014-11-01;2014;4th Q (most deprived);595;889378;66.900687896485
2014-11-01;2014;Rural;874;1141410;76.571959243392
2014-12-01;2014;1st Q (least deprived);768;1000837;76.7357721587032
2014-12-01;2014;2nd Q;466;708662;65.7577237103161
2014-12-01;2014;3rd Q;624;993696;62.7958651338035
2014-12-01;2014;4th Q (most deprived);555;882764;62.8707106316071
2014-12-01;2014;Rural;676;1137573;59.4247577957634
2015-01-01;2015;1st Q (least deprived);812;999528;81.2383444986033
2015-01-01;2015;2nd Q;529;708867;74.6261287378309
2015-01-01;2015;3rd Q;637;994180;64.0729043030437
2015-01-01;2015;4th Q (most deprived);556;882839;62.9786404995701
2015-01-01;2015;Rural;752;1137612;66.1033814692531
